Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Units
Winter 2020,Regular Academic Session,Engineering,10649,Electrical Engineering And Computer Science (EECS),250,1,Elec Sens Sys,LEC,P  W,M,,W,,,,,1/8/2020,4/21/2020,830-10AM,3540 NUB,Arsenault,3
Winter 2020,Regular Academic Session,Engineering,17407,Electrical Engineering And Computer Science (EECS),250,3,Elec Sens Sys,LAB,A   ,,,W,,,,,1/8/2020,4/21/2020,530-730AM,ARR,Arsenault,3
Winter 2020,Regular Academic Session,Engineering,10650,Electrical Engineering And Computer Science (EECS),270,1,Intro Logic Design,LEC,A R ,M,,W,,,,,1/8/2020,4/21/2020,9-1030AM,1013 DOW,Sakallah,4
Winter 2020,Regular Academic Session,Engineering,10651,Electrical Engineering And Computer Science (EECS),270,11,Intro Logic Design,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,930-1230PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10652,Electrical Engineering And Computer Science (EECS),270,12,Intro Logic Design,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,130-430PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10655,Electrical Engineering And Computer Science (EECS),270,13,Intro Logic Design,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,430-730PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10656,Electrical Engineering And Computer Science (EECS),270,14,Intro Logic Design,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,3-6PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10654,Electrical Engineering And Computer Science (EECS),270,15,Intro Logic Design,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,430-730PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10653,Electrical Engineering And Computer Science (EECS),270,16,Intro Logic Design,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,430-730PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,20643,Electrical Engineering And Computer Science (EECS),270,17,Intro Logic Design,LAB,P RW,,,,,F,,,1/8/2020,4/21/2020,930-1230PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,20642,Electrical Engineering And Computer Science (EECS),270,18,Intro Logic Design,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,6-9PM,2322 EECS,,4
Winter 2020,Regular Academic Session,Engineering,10658,Electrical Engineering And Computer Science (EECS),280,1,Prog&Data Struct,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,4-530PM,AUD 3 MLB,Beaumont,4
Winter 2020,Regular Academic Session,Engineering,21199,Electrical Engineering And Computer Science (EECS),280,2,Prog&Data Struct,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,9-1030AM,STAMPS,Juett,4
Winter 2020,Regular Academic Session,Engineering,23041,Electrical Engineering And Computer Science (EECS),280,3,Prog&Data Struct,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,1030-12PM,1013 DOW,Hamilton,4
Winter 2020,Regular Academic Session,Engineering,10663,Electrical Engineering And Computer Science (EECS),280,4,Prog&Data Struct,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,12-130PM,1013 DOW,Beaumont,4
Winter 2020,Regular Academic Session,Engineering,24417,Electrical Engineering And Computer Science (EECS),280,5,Prog&Data Struct,LEC,S R ,M,,W,,,,,1/8/2020,4/21/2020,3-430PM,1013 DOW,Hamilton,4
Winter 2020,Regular Academic Session,Engineering,10659,Electrical Engineering And Computer Science (EECS),280,11,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,12-2PM,2229 SEB,,4
Winter 2020,Regular Academic Session,Engineering,10660,Electrical Engineering And Computer Science (EECS),280,12,Prog&Data Struct,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,11-1PM,1567 NUB,,4
Winter 2020,Regular Academic Session,Engineering,10661,Electrical Engineering And Computer Science (EECS),280,13,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,10-12PM,G020 SPH2,,4
d,Regular Academic Session,Engineering,14000,Electrical Engineering And Computer Science (EECS),280,14,Prog&Data Struct,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,430-630PM,1005 DOW,,4
Winter 2020,Regular Academic Session,Engineering,15992,Electrical Engineering And Computer Science (EECS),280,15,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,4-6PM,185 EWRE,,4
Winter 2020,Regular Academic Session,Engineering,15993,Electrical Engineering And Computer Science (EECS),280,16,Prog&Data Struct,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,430-630PM,2147 GGBL,,4
Winter 2020,Regular Academic Session,Engineering,10662,Electrical Engineering And Computer Science (EECS),280,17,Prog&Data Struct,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,430-630PM,1940 COOL,,4
Winter 2020,Regular Academic Session,Engineering,20635,Electrical Engineering And Computer Science (EECS),280,18,Prog&Data Struct,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,1130-130PM,185 EWRE,,4
Winter 2020,Regular Academic Session,Engineering,20636,Electrical Engineering And Computer Science (EECS),280,19,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,9-11AM,G322 DENT,,4
Winter 2020,Regular Academic Session,Engineering,21251,Electrical Engineering And Computer Science (EECS),280,20,Prog&Data Struct,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,4-6PM,R0420 BUS,,4
Winter 2020,Regular Academic Session,Engineering,21515,Electrical Engineering And Computer Science (EECS),280,21,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,230-430PM,2153 GGBL,,4
Winter 2020,Regular Academic Session,Engineering,22514,Electrical Engineering And Computer Science (EECS),280,22,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,230-430PM,1005 DOW,,4
Winter 2020,Regular Academic Session,Engineering,22723,Electrical Engineering And Computer Science (EECS),280,23,Prog&Data Struct,LAB,P RW,,T,,,,,,1/8/2020,4/21/2020,330-530PM,1005 EECS,,4
Winter 2020,Regular Academic Session,Engineering,22724,Electrical Engineering And Computer Science (EECS),280,24,Prog&Data Struct,LAB,P RW,,,,,F,,,1/8/2020,4/21/2020,130-330PM,2166 DOW,,4
Winter 2020,Regular Academic Session,Engineering,22809,Electrical Engineering And Computer Science (EECS),280,25,Prog&Data Struct,LAB,P RW,,,W,,,,,1/8/2020,4/21/2020,1-3PM,373 LORCH,,4
Winter 2020,Regular Academic Session,Engineering,23725,Electrical Engineering And Computer Science (EECS),280,26,Prog&Data Struct,LAB,P RW,,,,,F,,,1/8/2020,4/21/2020,12-2PM,1940 COOL,,4
Winter 2020,Regular Academic Session,Engineering,24529,Electrical Engineering And Computer Science (EECS),280,27,Prog&Data Struct,LAB,P RW,M,,,,,,,1/8/2020,4/21/2020,2-4PM,185 EWRE,,4
Winter 2020,Regular Academic Session,Engineering,24530,Electrical Engineering And Computer Science (EECS),280,28,Prog&Data Struct,LAB,P RW,,,,,F,,,1/8/2020,4/21/2020,830-1030AM,1025 GGBL,,4
Winter 2020,Regular Academic Session,Engineering,24707,Electrical Engineering And Computer Science (EECS),280,29,Prog&Data Struct,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,4-6PM,1018 DOW,,4
Winter 2020,Regular Academic Session,Engineering,24785,Electrical Engineering And Computer Science (EECS),280,30,Prog&Data Struct,LAB,P RW,,,,TH,,,,1/8/2020,4/21/2020,5-7PM,2150 DOW,,4
Winter 2020,Regular Academic Session,Engineering,24786,Electrical Engineering And Computer Science (EECS),280,31,Prog&Data Struct,LAB,P RW,,,,,F,,,1/8/2020,4/21/2020,12-2PM,3427 EECS,,4
